"","player_id","player_name","n_win"
"173760","173760","6Carlinhos Carlos Andrade Souza TP173760",55
"291866","291866","9Leandro Da ... Leandro Damiao da Si ... RP291866",55
"185012","185012","10Joao Paulo Joao Paulo Mior TP185012",55
"291540","291540","15Luiz Antonio Luiz Antonio de Souz... TP291540",55
"182609","182609","5Deivid Deivid Willian da Silva TP182609",55
"315637","315637","23Marcio Marcio Almeida de Ol ... RP315637",55
"339242","339242","22Maycon Maycon de Andrade Ba ... RP339242",55
"377476","377476","28Lucas Lucas Verissimo da Silva RP377476",55
"535518","535518","35André André Trindade da Co... RP535518",55
"155703","155703","12Renan Renan Brito Soares RP155703",54
"154127","154127","19Wagner Wagner Ferreira dos ... TP154127",54
"174941","174941","25Ronaldo Ronaldo Luiz Alves RP174941",54
"177931","177931","32Felipe Felipe Alves Raymundo R(g)P177931",54
"345109","345109","20Lucas Lucas Evangelista Sa ... RP345109",54
"521939","521939","18Ramires Eric dos Santos Rodrigues TP521939",54
"145923","145923","26Juan Juan Maldonado Jaime... RP145923",53
"150201","150201","9Diego Tard ... Diego Tardelli Martins TP150201",53
"182246","182246","8Willians Willians Domingos Fe... TP182246",53
"541268","541268","30Lucas Lucas Braga Ribeiro RP541268",53
"691654","691654","14German Cano German Ezequiel Cano TP691654",53
"141158","141158","12Alex Alex Raphael Meschini RP141158",52
"156034","156034","5Lucas Pierre Lucas Pierre Santos ... TP156034",52
"185126","185126","9Kieza Welker Marcal Almeida TP185126",52
"306852","306852","19Everaldo Everaldo Stum RP306852",52
"180838","180838","17Marcos Marcos Antonio da Si ... RP180838",52
"446399","446399","31Raul Raul Lo Goncalves RP446399",52
"391953","391953","16Thaciano Thaciano Mickael da Silva RP391953",52
"314357","314357","26Gregore Gregore Magalhaes Silva TP314357",52
"318254","318254","7Rildo Rildo de Andrade Fel ... TP318254",52
"438556","438556","37Everaldo Everaldo Silva do Na... RP438556",52
"522146","522146","30Mendoza John Steven Mendoza ... RP522146",52
"521936","521936","9Lucas Pratto Lucas David Pratto TP521936",52
"633531","633531","7Carlos San ... Carlos Andres Sanche ... TP633531",52
"303063","303063","6Natanael Natanael Batista Pimenta TP303063",51
"176512","176512","11Tiago Real Tiago Real do Prado TP176512",51
"291732","291732","22Pimpao Rodrigo Pimpao Vianna RP291732",51
"317697","317697","43Gabriel Gabriel Dias de Oliveira RP317697",51
"318563","318563","44Marcos Marcos Felipe de Fre... RP318563",51
"388084","388084","28Vitinho Vitor Hugo Naum dos ... RP388084",51
"436395","436395","29Yuri Alberto Yuri Alberto Monteir... RP436395",51
"546294","546294","88Christian Christian Roberto Al... RP546294",51
"137978","137978","20Danilo Danilo Gabriel de An ... TP137978",50
"292282","292282","4Luciano Ca ... Luciano Castan da Silva TP292282",50
"422469","422469","33Ortiz Leonardo Rech Ortiz TP422469",50
"408134","408134","18Carlos Carlos Eduardo Ferre ... RP408134",50
"381047","381047","97Everton Fe ... Everton Felipe de Ol ... RP381047",50
"438212","438212","19Ademir Ademir da Silva Sant ... RP438212",50
"540906","540906","3Carli Mauro Joel Carli TP540906",50
"463599","463599","38Marrony Marrony da Silva Lib... RP463599",50
"648335","648335","14Bruno Mendez Bruno Mendez Cittadini RP648335",50
"630170","630170","55David Terans Miguel David Terans Perez RP630170",50
"161941","161941","5Marcos Marcos Arouca da Silva TP161941",49
"167600","167600","4Ricardo Ricardo Martins de A ... TP167600",49
"159209","159209","1Danilo Marcos Danilo Padilha T(g)P159209",49
"174194","174194","17Wallyson Wallyson Ricardo Mac... RP174194",49
"180213","180213","12Rafael Rafael Pires Monteiro RP180213",49
"306146","306146","11Wellington Wellington Alves da  ... RP306146",49
"404816","404816","15Andrey Andrey Ramos do Nasc ... RP404816",49
"177749","177749","26Dede Anderson Vital da Silva TP177749",49
"432491","432491","36Ayrton Ayrton Lucas Dantas ... RP432491",49
"380745","380745","19Clayton Clayton da Silveira ... RP380745",49
"429638","429638","38Pedro Pedro Victor Delmino ... RP429638",49
"695547","695547","28Cuello Tomas Esteban Cuello RP695547",49
